title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
AP® Physics 1: Challenging Concepts,12145,Self-paced on your time,Davidson Next,Introductory,Physics,English,English,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,8,595105,24.0,"(20.0, 30.0]",9.404672841436273,"(20.0, 30.0]"
Introduction to Java Programming – Part 2,71203,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Computer Science,English,English,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,5,7049097,20.0,"(10.0, 20.0]",11.17329023134388,"(10.0, 20.0]"
AP® Macroeconomics,29433,Self-paced on your time,Davidson Next,Introductory,Economics & Finance,English,English,2–4 hours per week,18 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,18,1442217,54.0,"(50.0, 60.0]",10.2898717728315,"(50.0, 60.0]"
Climate Change Education,12056,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,English,"English, Español",4–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,4.5,25,10,301400,45.0,"(40.0, 50.0]",9.397317740306331,"(40.0, 50.0]"
"Introducción al griego clásico: verbos, oraciones y filosofía",0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Language,Español,Español,4–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,5,0,22.5,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Applied Deep Learning Capstone Project,8429,Self-paced on your time,IBM,Advanced,Data Analysis & Statistics,English,English,2–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,3.0,99,5,834471,15.0,"(10.0, 20.0]",9.039433419997483,"(10.0, 20.0]"
FinTech Ethics and Risks,10696,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,English,"English, English, 中文, 中文",1–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,3.0,199,6,2128504,18.0,"(10.0, 20.0]",9.27762511878178,"(10.0, 20.0]"
User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,23828,Self-paced on your time,Tsinghua University,Advanced,Engineering,English,English,1–5 hours per week,7 Weeks,FREE-Add a Verified Certificate for $139 USD,3.0,139,7,3312092,21.0,"(20.0, 30.0]",10.078616638748578,"(20.0, 30.0]"
The Conquest of Space: Space Exploration and Rocket Science,19926,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Engineering,English,English,3–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $129 USD,3.5,129,7,2570454,24.5,"(20.0, 30.0]",9.899780690604802,"(20.0, 30.0]"
Business Strategy and Operations in a Biobased Economy,0,Self-paced on your time,Wageningen University & Research,Advanced,Business & Management,English,English,12–16 hours per week,5 Weeks,FREE-Add a Verified Certificate for $149 USD,14.0,149,5,0,70.0,"(60.0, 70.0]",-inf,"(60.0, 70.0]"
What Works in Education: Evidence-Based Education Policies,5540,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,English,English,3–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,3.5,25,10,138500,35.0,"(30.0, 40.0]",8.61974977974133,"(30.0, 40.0]"
Electric Cars: Business,14199,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,English,4–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,4.5,50,4,709950,18.0,"(10.0, 20.0]",9.560926818574357,"(10.0, 20.0]"
Thermodynamics of Materials,0,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,English,9–12 hours per week,16 Weeks,FREE-Add a Verified Certificate for $150 USD,10.5,150,16,0,168.0,"(100.0, inf]",-inf,"(100.0, inf]"
Mechanics: Momentum and Energy,14846,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Physics,English,English,10–12 hours per week,14 Weeks,FREE-Add a Verified Certificate for $49 USD,11.0,49,14,727454,154.0,"(100.0, inf]",9.605485747677493,"(100.0, inf]"
Co-Creating Sustainable Cities,12415,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Advanced,Social Sciences,English,English,6–8 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,7.0,49,8,608335,56.0,"(50.0, 60.0]",9.426660697942268,"(50.0, 60.0]"
Cómo educar teniendo en cuenta la muerte,0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,Español,2–5 hours per week,3 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,3,0,10.5,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Introduction to Animal Ethics,6608,Self-paced on your time,Kyoto University,Introductory,Philosophy & Ethics,English,English,2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,5,323792,12.5,"(10.0, 20.0]",8.796036315200814,"(10.0, 20.0]"
Teamwork & Collaboration,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,English,4–6 hours per week,3 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,3,0,15.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Grant Writing and Crowdfunding for Public Libraries,12853,Self-paced on your time,The University of Michigan,Introductory,Humanities,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,4,629797,10.0,"(0.0, 10.0]",9.461332526110132,"(0.0, 10.0]"
Leading Ambitious Teaching and Learning,24273,Self-paced on your time,The University of Michigan-Microsoft Education,Advanced,Education & Teacher Training,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,3.0,199,6,4830327,18.0,"(10.0, 20.0]",10.097119900475949,"(10.0, 20.0]"
Financing Innovative Ventures,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,2.5,149,4,0,10.0,"(0.0, 10.0]",-inf,"(0.0, 10.0]"
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",0,Self-paced on your time,Imperial College London,Intermediate,Math,English,English,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,7,0,21.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Theories of Media and Technology,0,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,English,English,8–10 hours per week,14 Weeks,FREE-Add a Verified Certificate for $249 USD,9.0,249,14,0,126.0,"(100.0, inf]",-inf,"(100.0, inf]"
Introducción a la Estructura de la Materia,11859,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Chemistry,Español,Español,3–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $25 USD,3.5,25,4,296475,14.0,"(10.0, 20.0]",9.380842351964795,"(10.0, 20.0]"
"Batteries, Fuel Cells, and their Role in Modern Society",11865,Self-paced on your time,Ural Federal University,Introductory,Science,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,6,581385,18.0,"(10.0, 20.0]",9.381348168869865,"(10.0, 20.0]"
Communication Skills for Dialoguing Across Difference,60943,Self-paced on your time,Catalyst,Introductory,Communication,English,English,1–2 hours per week,1 Weeks,FREE-Add a Verified Certificate for $25 USD,1.5,25,1,1523575,1.5,"(0.0, 10.0]",11.017694280077595,"(0.0, 10.0]"
Social Media: How Media Got Social,13616,Self-paced on your time,Curtin University,Introductory,Communication,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $139 USD,2.5,139,4,1892624,10.0,"(0.0, 10.0]",9.519000850813155,"(0.0, 10.0]"
"Portfolio Management, Governance, & the PMO",17299,Self-paced on your time,University of Washington,Introductory,Business & Management,English,English,2–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,3.5,199,6,3442501,21.0,"(20.0, 30.0]",9.758403975346978,"(20.0, 30.0]"
edX101: Overview of Creating an edX Course,22327,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,English,1–2 hours per week,1 Weeks,FREE-Add a Verified Certificate for $99 USD,1.5,99,1,2210373,1.5,"(0.0, 10.0]",10.013551987398436,"(0.0, 10.0]"
"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,Español,3–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,4,0,14.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Data Analysis for Decision Making,8342,Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,English,8–10 hours per week,7 Weeks,FREE-Add a Verified Certificate for $214 USD,9.0,214,7,1785188,63.0,"(60.0, 70.0]",9.02905827475689,"(60.0, 70.0]"
UML Class Diagrams for Software Engineering,33710,Self-paced on your time,KU Leuven University,Introductory,Computer Science,English,English,4–5 hours per week,3 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,3,1651790,13.5,"(10.0, 20.0]",10.425549808228107,"(10.0, 20.0]"
Driving Digital Innovation through Experimentation,16904,Instructor-led on a course schedule,Boston University,Advanced,Computer Science,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $399 USD,4.0,399,6,6744696,24.0,"(20.0, 30.0]",9.735305559295893,"(20.0, 30.0]"
Compilation Basics for Macroeconomic Statistics,6570,Self-paced on your time,The International Monetary Fund,Introductory,Data Analysis & Statistics,English,English,3–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $25 USD,4.5,25,4,164250,18.0,"(10.0, 20.0]",8.790269111478656,"(10.0, 20.0]"
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,20189,Self-paced on your time,Inter-American Development Bank,Introductory,Engineering,Español,Español,2–3 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,2.5,25,10,504725,25.0,"(20.0, 30.0]",9.912893180610224,"(20.0, 30.0]"
From Fossil Resources to Biomass: A Chemistry Perspective,5464,Self-paced on your time,Wageningen University & Research,Advanced,Energy & Earth Sciences,English,English,20–28 hours per week,5 Weeks,FREE-Add a Verified Certificate for $149 USD,24.0,149,5,814136,120.0,"(100.0, inf]",8.605936401250625,"(100.0, inf]"
System Dynamics for Health Sciences,15157,Self-paced on your time,Wits University,Intermediate,Medicine,English,English,2–4 hours per week,9 Weeks,FREE-Add a Verified Certificate for $139 USD,3.0,139,9,2106823,27.0,"(20.0, 30.0]",9.626217750431657,"(20.0, 30.0]"
Internet de las cosas (IoT) y Big Data,0,Self-paced on your time,Universidad del Rosario,Intermediate,Data Analysis & Statistics,Español,Español,4–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,5.0,49,4,0,20.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Introducción a Ciencias de Datos y Estadística Básica para Negocios,0,Self-paced on your time,Tecnológico de Monterrey,Advanced,Data Analysis & Statistics,Español,Español,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49.99 USD,6.5,49,4,0,26.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Introduction to Psychological Research Methods,17087,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–2 hours per week,7 Weeks,FREE-Add a Verified Certificate for $99 USD,1.5,99,7,1691613,10.5,"(10.0, 20.0]",9.746073219448274,"(10.0, 20.0]"
Sustainable Packaging in a Circular Economy,6277,Self-paced on your time,Delft University of Technology,Intermediate,Design,English,English,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,3.5,50,6,313850,21.0,"(20.0, 30.0]",8.744647438317532,"(20.0, 30.0]"
Design in Healthcare: Using Patient Journey Mapping,17946,Self-paced on your time,Delft University of Technology,Introductory,Design,English,English,3–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $129 USD,3.5,129,8,2315034,28.0,"(20.0, 30.0]",9.795122527858004,"(20.0, 30.0]"
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",0,Self-paced on your time,Universidad Nacional de Córdoba,Intermediate,Biology & Life Sciences,Español,"English, Español",5–7 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,6.0,99,4,0,24.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
"Electronic, Optical, and Magnetic Properties of Materials",9717,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Engineering,English,English,11–13 hours per week,15 Weeks,FREE-Add a Verified Certificate for $150 USD,12.0,150,15,1457550,180.0,"(100.0, inf]",9.181632207839439,"(100.0, inf]"
La España del Quijote,13277,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,History,Español,Español,5–7 hours per week,7 Weeks,FREE-Add a Verified Certificate for $19 USD,6.0,19,7,252263,42.0,"(40.0, 50.0]",9.493788493895902,"(40.0, 50.0]"
Risk Management for Projects,22269,Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,English,2–3 hours per week,5 Weeks,FREE-Add a Verified Certificate for $199 USD,2.5,199,5,4431531,12.5,"(10.0, 20.0]",10.010950855785657,"(10.0, 20.0]"
Smithsonian’s Objects That Define America,9071,Self-paced on your time,The Smithsonian Institution,Introductory,Humanities,English,English,1–2 hours per week,5 Weeks,FREE-Add a Verified Certificate for $50 USD,1.5,50,5,453550,7.5,"(0.0, 10.0]",9.112837790614945,"(0.0, 10.0]"
Creating Modern China: The Republican Period to the Present,43045,Self-paced on your time,Harvard University,Introductory,History,English,"English, 中文",1–3 hours per week,15 Weeks,FREE-Add a Verified Certificate for $139 USD,2.0,139,15,5983255,30.0,"(20.0, 30.0]",10.670001359092055,"(20.0, 30.0]"
Discover Political Science,6573,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Social Sciences,English,English,4–6 hours per week,10 Weeks,FREE-Add a Verified Certificate for $50 USD,5.0,50,10,328650,50.0,"(40.0, 50.0]",8.790725628263576,"(40.0, 50.0]"
Data Science: Inferential Thinking through Simulations,17505,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,English,4–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,5,3483495,25.0,"(20.0, 30.0]",9.770241833388766,"(20.0, 30.0]"
Programming for Data Science,41268,Self-paced on your time,University of Adelaide,Introductory,Computer Science,English,English,8–10 hours per week,10 Weeks,FREE-Add a Verified Certificate for $199 USD,9.0,199,10,8212332,90.0,"(80.0, 100.0]",10.627842660220267,"(80.0, 100.0]"
Public Sector Debt Statistics,0,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,6–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $25 USD,7.0,25,6,0,42.0,"(40.0, 50.0]",-inf,"(40.0, 50.0]"
Sensor Fusion and Non-linear Filtering for Automotive Systems,9709,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,English,10–20 hours per week,6 Weeks,FREE-Add a Verified Certificate for $299 USD,15.0,299,6,2902991,90.0,"(80.0, 100.0]",9.180808569370145,"(80.0, 100.0]"
Creación musical con Soundcool: Introducción,0,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Music,Español,Español,4–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $30 USD,4.5,30,5,0,22.5,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,8222,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,3–5 hours per week,3 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,3,402878,12.0,"(10.0, 20.0]",9.014568767457824,"(10.0, 20.0]"
The Quantum Internet and Quantum Computers: How Will They Change the World?,15014,Self-paced on your time,Delft University of Technology,Introductory,Science,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,2.5,50,6,750700,15.0,"(10.0, 20.0]",9.616738378132947,"(10.0, 20.0]"
Research Methods: An Engineering Approach,20444,Self-paced on your time,Wits University,Introductory,Engineering,English,English,2–3 hours per week,8 Weeks,FREE-Add a Verified Certificate for $169 USD,2.5,169,8,3455036,20.0,"(10.0, 20.0]",9.925444719888171,"(10.0, 20.0]"
Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,15349,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Philosophy & Ethics,Español,Español,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,5,752101,20.0,"(10.0, 20.0]",9.638805604313408,"(10.0, 20.0]"
Rise to Leadership: Become a CEO,16719,Self-paced on your time,Babson College,Intermediate,Business & Management,English,English,4–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $199 USD,5.0,199,4,3327081,20.0,"(10.0, 20.0]",9.724301076237646,"(10.0, 20.0]"
Building a Cybersecurity Toolkit,23275,Self-paced on your time,University of Washington,Introductory,Computer Science,English,English,2–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $199 USD,3.5,199,6,4631725,21.0,"(20.0, 30.0]",10.055135102145268,"(20.0, 30.0]"
Marketing your Android apps,0,Self-paced on your time,Universidad Galileo,Intermediate,Engineering,English,English,6–8 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,7.0,49,5,0,35.0,"(30.0, 40.0]",-inf,"(30.0, 40.0]"
Embedded Systems Essentials with Arm: Getting Started,0,Self-paced on your time,Arm Education,Intermediate,Computer Science,English,English,3–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,4.5,149,6,0,27.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Life with Diabetes,12318,Self-paced on your time,Curtin University,Introductory,Medicine,English,English,3–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $139 USD,3.5,139,5,1712202,17.5,"(10.0, 20.0]",9.418816886246988,"(10.0, 20.0]"
Human Reproduction,5517,Self-paced on your time,University of Adelaide,Intermediate,Biology & Life Sciences,English,English,2–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $169 USD,2.5,169,6,932373,15.0,"(10.0, 20.0]",8.61558951327243,"(10.0, 20.0]"
Enabling Technologies for Data Science and Analytics: The Internet of Things,71290,Self-paced on your time,Columbia University,Introductory,Computer Science,English,English,7–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,8.5,99,5,7057710,42.5,"(40.0, 50.0]",11.174511344111675,"(40.0, 50.0]"
Astrophysics: Exploring Exoplanets,48539,Self-paced on your time,Australian National University,Intermediate,Physics,English,English,2–4 hours per week,9 Weeks,FREE-Add a Verified Certificate for $50 USD,3.0,50,9,2426950,27.0,"(20.0, 30.0]",10.790122877502657,"(20.0, 30.0]"
Unconventional Reservoir Geomechanics,0,Self-paced on your time,Stanford University,Introductory,Energy & Earth Sciences,English,English,6–8 hours per week,10 Weeks,FREE-Add a Verified Certificate for $129 USD,7.0,129,10,0,70.0,"(60.0, 70.0]",-inf,"(60.0, 70.0]"
Strategic Account Management,0,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,5.0,149,6,0,30.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
PyTorch Basics for Machine Learning,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,4–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $39 USD,4.5,39,5,0,22.5,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,14266,Self-paced on your time,Universidad Galileo,Intermediate,Humanities,Español,Español,4–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,4.5,49,4,699034,18.0,"(10.0, 20.0]",9.565634362837983,"(10.0, 20.0]"
Introduction to Cloud Foundry and Cloud Native Software Architecture,24444,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,3–4 hours per week,14 Weeks,FREE-Add a Verified Certificate for $169 USD,3.5,169,14,4131036,49.0,"(40.0, 50.0]",10.104140066014805,"(40.0, 50.0]"
Gestión de compras eficientes para tu empresa,0,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,Español,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $25 USD,4.0,25,5,0,20.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Know HBV And HCV,0,Self-paced on your time,Stanford University,Introductory,Medicine,English,English,1–5 hours per week,1 Weeks,FREE-Add a Verified Certificate for $50 USD,3.0,50,1,0,3.0,"(0.0, 10.0]",-inf,"(0.0, 10.0]"
The Supreme Court & American Politics,6216,Self-paced on your time,University of Baltimore-University System of Maryland,Introductory,Law,English,English,4–7 hours per week,8 Weeks,FREE-Add a Verified Certificate for $29 USD,5.5,29,8,180264,44.0,"(40.0, 50.0]",8.734881892047483,"(40.0, 50.0]"
Sales Enablement & Analytics,0,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $149 USD,5.0,149,6,0,30.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,16423,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Español,Español,3–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $25 USD,3.5,25,10,410575,35.0,"(30.0, 40.0]",9.70643807033756,"(30.0, 40.0]"
Liderazgo en la empresa familiar,10969,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,Español,Español,7–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,7.5,49,6,537481,45.0,"(40.0, 50.0]",9.302828391411333,"(40.0, 50.0]"
Comparative Political Systems,6934,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $59 USD,5.0,59,6,409106,30.0,"(20.0, 30.0]",8.844192126244968,"(20.0, 30.0]"
Introducción al Derecho en la vida cotidiana,0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Law,Español,Español,5–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,5.5,49,5,0,27.5,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Cloud Computing for Enterprises,27241,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Intermediate,Computer Science,English,English,8–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $299 USD,9.0,299,8,8145059,72.0,"(70.0, 80.0]",10.212478470309156,"(70.0, 80.0]"
Diversity and Social Justice in Social Work,11055,Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,English,8–10 hours per week,8 Weeks,FREE-Add a Verified Certificate for $199 USD,9.0,199,8,2199945,72.0,"(70.0, 80.0]",9.310638093291546,"(70.0, 80.0]"
Public Library Marketing and Public Relations,7525,Self-paced on your time,The University of Michigan,Introductory,Humanities,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,2.5,49,4,368725,10.0,"(0.0, 10.0]",8.925986089617076,"(0.0, 10.0]"
"Healthcare Finance, Economics and Risk",8006,Self-paced on your time,Doane University,Intermediate,Economics & Finance,English,English,5–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $199 USD,7.5,199,5,1593194,37.5,"(30.0, 40.0]",8.987946539552519,"(30.0, 40.0]"
Reacciones Químicas y Cálculos Estequiométricos,8907,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Chemistry,Español,Español,3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,6,436443,21.0,"(20.0, 30.0]",9.09459276343187,"(20.0, 30.0]"
Seeking Women’s Rights: Colonial Period to the Civil War,5157,Self-paced on your time,Columbia University,Intermediate,History,English,English,2–3 hours per week,10 Weeks,FREE-Add a Verified Certificate for $50 USD,2.5,50,10,257850,25.0,"(20.0, 30.0]",8.548110294050959,"(20.0, 30.0]"
VideoX: Creating Video for the edX Platform,12159,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,English,2–4 hours per week,2 Weeks,FREE-Add a Verified Certificate for $99 USD,3.0,99,2,1203741,6.0,"(0.0, 10.0]",9.405824915296419,"(0.0, 10.0]"
Comisión de la Verdad Colombia,0,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,History,Español,Español,7–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $29 USD,8.5,29,5,0,42.5,"(40.0, 50.0]",-inf,"(40.0, 50.0]"
MathTrackX: Probability,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,English,3–6 hours per week,4 Weeks,FREE-Add a Verified Certificate for $79 USD,4.5,79,4,0,18.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Health Informatics for better and safer healthcare,0,Self-paced on your time,IsraelX,Introductory,Health & Safety,English,English,3–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,4,0,14.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Sign Language Science: Factors Contributing to Natural Change,0,Self-paced on your time,Georgetown University,Introductory,Language,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,4,0,16.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Accounting System Structure and Information Management,0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,English,1–2 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,1.5,50,4,0,6.0,"(0.0, 10.0]",-inf,"(0.0, 10.0]"
Sustainable Development: The Post-Capitalist Order,7031,Self-paced on your time,SDG Academy,Introductory,Economics & Finance,English,English,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,8,344519,24.0,"(20.0, 30.0]",8.858084222199162,"(20.0, 30.0]"
"Health Law, Policy, and Advocacy",6358,Self-paced on your time,Doane University,Intermediate,Law,English,English,5–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $199 USD,7.5,199,5,1265242,37.5,"(30.0, 40.0]",8.757469141470748,"(30.0, 40.0]"
Introduction to Haptics,0,Self-paced on your time,Stanford University,Introductory,Engineering,English,English,1–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $129 USD,5.5,129,5,0,27.5,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
Gestión de inventario y portafolio,0,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,Español,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $25 USD,4.0,25,5,0,20.0,"(10.0, 20.0]",-inf,"(10.0, 20.0]"
Understanding Nuclear Energy,16015,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,5.0,50,6,800750,30.0,"(20.0, 30.0]",9.681281062043258,"(20.0, 30.0]"
Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),11431,Self-paced on your time,Catalyst,Introductory,Business & Management,Español,Español,1–2 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,1.5,50,4,571550,6.0,"(0.0, 10.0]",9.344084242025778,"(0.0, 10.0]"
Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,0,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,English,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,5.0,50,6,0,30.0,"(20.0, 30.0]",-inf,"(20.0, 30.0]"
AP® Calculus BC,8542,Self-paced on your time,Davidson Next,Introductory,Math,English,English,2–4 hours per week,11 Weeks,FREE-Add a Verified Certificate for $49 USD,3.0,49,11,418558,33.0,"(30.0, 40.0]",9.052750451401412,"(30.0, 40.0]"
