title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price,media_course_effort,price_extracted,length_extracted,ingreso_por_curso,esfuerzo_total,esfuerzo_group,log_n_enrolled,esfuerzo_group_str
Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Waseda University,Introductory,Language,English,"English, 日本語",3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,5,2627870,20.0,"(10.0, 20.0]",10.88986389197697,"(10.0, 20.0]"
How to Write an Essay,306787,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,English,5–6 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,5.5,49,5,15032563,27.5,"(20.0, 30.0]",12.633908974696126,"(20.0, 30.0]"
Energy Within Environmental Constraints,95324,Self-paced on your time,Harvard University,Introductory,Environmental Studies,English,English,3–5 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,4.0,99,10,9437076,40.0,"(30.0, 40.0]",11.465036894243255,"(30.0, 40.0]"
Introduction to Probability,97291,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,English,5–10 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,10,9631809,75.0,"(70.0, 80.0]",11.485461766465319,"(70.0, 80.0]"
AnatomyX: Musculoskeletal Cases,102075,Self-paced on your time,Harvard University,Intermediate,Medicine,English,English,3–6 hours per week,7 Weeks,FREE-Add a Verified Certificate for $99 USD,4.5,99,7,10105425,31.5,"(30.0, 40.0]",11.533463116187777,"(30.0, 40.0]"
Data Science: Inference and Modeling,88256,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,1.5,49,8,4324544,12.0,"(10.0, 20.0]",11.387996961152973,"(10.0, 20.0]"
Strengthening Community Health Worker Programs,58626,Self-paced on your time,Harvard University,Introductory,Health & Safety,English,English,2–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $79 USD,3.0,79,6,4631454,18.0,"(10.0, 20.0]",10.978933563172399,"(10.0, 20.0]"
Buddhism Through Its Scriptures,182295,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,7.5,99,4,18047205,30.0,"(20.0, 30.0]",12.11338153297301,"(20.0, 30.0]"
Introduction to Linux,642088,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,5–7 hours per week,14 Weeks,FREE-Add a Verified Certificate for $199 USD,6.0,199,14,127775512,84.0,"(80.0, 100.0]",13.372480644929729,"(80.0, 100.0]"
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Self-paced on your time,Harvard University,Introductory,Medicine,English,English,1–2 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,1.5,99,10,8040879,15.0,"(10.0, 20.0]",11.304929113402858,"(10.0, 20.0]"
Shakespeare's Life and Work,48938,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–7 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,6.0,49,4,2397962,24.0,"(20.0, 30.0]",10.79830946979463,"(20.0, 30.0]"
Marketing Digital: Content & Community Manager,112623,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,Español,3–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $49 USD,3.5,49,5,5518527,17.5,"(10.0, 20.0]",11.631801236706348,"(10.0, 20.0]"
Accounting and Finance,88243,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,"English, हिन्दी",2–4 hours per week,11 Weeks,FREE-Add a Verified Certificate for $150 USD,3.0,150,11,13236450,33.0,"(30.0, 40.0]",11.387849651536222,"(30.0, 40.0]"
Computing in Python I: Fundamentals and Procedural Programming,141966,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,English,9–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,9.5,99,5,14054634,47.5,"(40.0, 50.0]",11.863342871294156,"(40.0, 50.0]"
"Nutrition, Exercise and Sports",51679,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,English,4–8 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,6.0,49,6,2532271,36.0,"(30.0, 40.0]",10.852806788424072,"(30.0, 40.0]"
Becoming an Entrepreneur,104760,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,1–3 hours per week,6 Weeks,FREE-Add a Verified Certificate for $69 USD,2.0,69,6,7228440,12.0,"(10.0, 20.0]",11.559427298621648,"(10.0, 20.0]"
"Religion, Conflict and Peace",74060,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,4–8 hours per week,8 Weeks,FREE-Add a Verified Certificate for $49 USD,6.0,49,8,3628940,48.0,"(40.0, 50.0]",11.212630854467603,"(40.0, 50.0]"
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,1–3 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,2.0,49,10,2995811,20.0,"(10.0, 20.0]",11.020905239406584,"(10.0, 20.0]"
Academic and Business Writing,322701,Self-paced on your time,"University of California, Berkeley",Introductory,Communication,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,4.0,49,6,15812349,24.0,"(20.0, 30.0]",12.684481476888676,"(20.0, 30.0]"
Data Science: Capstone,62803,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,15–20 hours per week,2 Weeks,FREE-Add a Verified Certificate for $99 USD,17.5,99,2,6217497,35.0,"(30.0, 40.0]",11.047758122015944,"(30.0, 40.0]"
Basics of Computing and Programming,37045,Self-paced on your time,New York University,Introductory,Computer Science,English,English,6–8 hours per week,9 Weeks,FREE-Add a Verified Certificate for $200 USD,7.0,200,9,7409000,63.0,"(60.0, 70.0]",10.519888668850758,"(60.0, 70.0]"
