name,institution,course_id,media_rating,num_ratings
Modern Art & Ideas,The Museum of Modern Art,modern-art-ideas,4.767911200807266,2973.0
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,speak-english-professionally,4.765037593984962,6384.0
Essential Google Cloud Infrastructure: Foundation,Google Cloud,gcp-infrastructure-foundation,4.727941176470588,4352.0
Introduction to Artificial Intelligence (AI),IBM,introduction-to-ai,4.765455531453362,3688.0
Dog Emotion and Cognition,Duke University,dog-emotion-and-cognition,4.6312785388127855,2628.0
International Leadership and Organizational Behavior,Università Bocconi,organizational-behavior,4.844660194174757,1236.0
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,sdgbusiness,4.873239436619718,213.0
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,global-sustainable-development,4.791318864774625,1797.0
Digital Transformation,BCG,bcg-uva-darden-digital-transformation,4.804093567251462,3078.0
Sequence Models,DeepLearning.AI,nlp-sequence-models,4.6385498923187365,8358.0
Devenir entrepreneur du changement,HEC Paris,entrepreneur-changement,4.7561436672967865,529.0
Seeing Through Photographs,The Museum of Modern Art,photography,4.7849223946784925,2255.0
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,wharton-entrepreneurship-opportunity,4.801242236024844,1932.0
Introduction to Search Engine Optimization,"University of California, Davis",search-engine-optimization,4.60122182431009,4747.0
Learn to Speak Korean 1,Yonsei University,learn-speak-korean1,4.889457523029683,2931.0
Circular Economy - Sustainable Materials Management,Delft University of Technology,circular-economy,,
Drug Development,University of California San Diego,drug-development,4.554535017221585,871.0
R Programming,Johns Hopkins University,r-programming,4.238336713995944,11832.0
Economics of Money and Banking,Columbia University,money-banking,4.955719557195572,813.0
Chinese for Beginners,Peking University,learn-chinese,4.794927453444533,8753.0
Grammar and Punctuation,"University of California, Irvine",grammar-punctuation,4.767543859649122,12996.0
Japanese for beginners 1,Saint Petersburg State University,japanese-1,3.358974358974359,78.0
Introduction to English Common Law,University of London,intro-common-law,4.816143497757848,669.0
Introduction to Dental Medicine,University of Pennsylvania,dental-medicine-penn,4.909426987060998,541.0
Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,fundamentals-of-reinforcement-learning,4.739800543970988,1103.0
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",principles-of-macroeconomics,4.639502762430939,1448.0
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,corp-sustainability,4.565789473684211,228.0
Behavioral Finance,Duke University,duke-behavioral-finance,4.093023255813954,1677.0
"Sequences, Time Series and Prediction",DeepLearning.AI,tensorflow-sequences-time-series-and-prediction,4.507890961262554,1394.0
Supply Chain Logistics,Rutgers the State University of New Jersey,supply-chain-logistics,4.721752498078401,3903.0
Project Execution,"University of California, Irvine",project-execution,3.9285714285714284,42.0
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,nutricion-obesidad-sobrepeso,4.770848985725019,3993.0
Microeconomics Principles,University of Illinois at Urbana-Champaign,microeconomics,4.820487804878049,1025.0
Creative Writing: The Craft of Plot,Wesleyan University,craft-of-plot,4.650602409638554,2988.0
Astronomy: Exploring Time and Space,University of Arizona,astro,4.881918819188192,2168.0
Oil & Gas Industry Operations and Markets,Duke University,oilandgas,4.822699386503068,3260.0
Design Thinking for Innovation,University of Virginia,uva-darden-design-thinking-innovation,4.677365799667958,5421.0
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,becoming-a-veterinarian,4.6858108108108105,888.0
Learn to Program: The Fundamentals,University of Toronto,learn-to-program,4.749367088607595,3555.0
Financial Accounting Fundamentals,University of Virginia,uva-darden-financial-accounting,4.841791044776119,1005.0
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,finding-purpose-and-meaning-in-life,4.799274486094316,827.0
Understanding Clinical Research: Behind the Statistics,University of Cape Town,clinical-research,4.812720848056537,1698.0
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,epidemiology,4.653307580878803,2071.0
Fashion as Design,The Museum of Modern Art,fashion-design,4.841673502871206,1219.0
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,teamwork-skills-effective-communication,4.781685870224378,1649.0
Feminism and Social Justice,"University of California, Santa Cruz",feminism-social-justice,4.814814814814815,2025.0
International Organizations Management,University of Geneva,international-organizations-management,4.837037037037037,810.0
Marketing Digital,Universidade de São Paulo,estrategia-marketing-digital,4.798927613941019,1119.0
Fundamentals of GIS,"University of California, Davis",gis,4.8638165345413364,3532.0
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,elearning,4.5064935064935066,231.0
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,excel-vba-for-creative-problem-solving-part-1,4.859037328094303,2036.0
Rethinking International Tax Law,Universiteit Leiden,international-taxation,4.818713450292398,513.0
Introduction to Probability and Data with R,Duke University,probability-intro,4.62962962962963,2916.0
Understanding and Visualizing Data with Python,University of Michigan,understanding-visualization-data,4.635391923990499,842.0
Fundamentals of Visualization with Tableau,"University of California, Davis",data-visualization-tableau,4.355434782608696,2760.0
Getting Started with SAS Programming,SAS,sas-programming-basics,4.874587458745874,909.0
Machine Learning for All,University of London,uol-machine-learning-for-all,4.69271758436945,1689.0
Using Databases with Python,University of Michigan,python-databases,4.705329949238578,7880.0
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,addiction-treatment,4.924812030075188,399.0
Dino 101: Dinosaur Paleobiology,University of Alberta,dino101,4.902847571189279,1791.0
Sports Marketing,Northwestern University,sports-marketing,4.659722222222222,432.0
Positive Psychology,The University of North Carolina at Chapel Hill,positive-psychology,4.659316427783903,2721.0
Introduction to Programming with MATLAB,Vanderbilt University,matlab,4.825731398295324,8682.0
Preparing to Manage Human Resources,University of Minnesota,managing-human-resources,4.855762594893029,4347.0
Solar Energy Basics,The State University of New York,solar-energy-basics,4.819234194122886,1123.0
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,bootstrap-4,4.818409517845962,4791.0
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,google-cloud-java-spring,4.019027484143764,473.0
Introduction to Forensic Science,"Nanyang Technological University, Singapore",forensic-science,4.849240780911063,922.0
Google Cloud Product Fundamentals,Google Cloud,google-cloud-product-fundamentals,4.7,270.0
American Contract Law I,Yale University,contracts-1,4.833333333333333,270.0
Engineering Health: Introduction to Yoga and Physiology,New York University,engineering-health-yoga-physiology,4.581818181818182,165.0
AI for Medical Diagnosis,DeepLearning.AI,ai-for-medical-diagnosis,4.602346805736636,767.0
Natural Language Processing with Sequence Models,DeepLearning.AI,sequence-models-in-nlp,3.967741935483871,186.0
Introduction to Electronics,Georgia Institute of Technology,electronics,4.722599418040737,1031.0
International Humanitarian Law in Theory and Practice,Universiteit Leiden,international-humanitarian-law,4.828920570264766,491.0
Making Architecture,IE School of Architecture & Design,making-architecture,4.825,520.0
Model Thinking,University of Michigan,model-thinking,4.771946564885496,1048.0
Supporting children with difficulties in reading and writing,University of London,dyslexia-difficulties,4.76369168356998,986.0
Innovation Management,Erasmus University Rotterdam,innovation-management,4.721014492753623,828.0
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",people-management,4.68107302533532,1342.0
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,modern-world,4.847183098591549,1420.0
Fundamentals of Music Theory,The University of Edinburgh,edinburgh-music-theory,,
Supply Chain Principles,Georgia Institute of Technology,supply-chain-principles,4.555910543130991,939.0
Essential Google Cloud Infrastructure: Core Services,Google Cloud,gcp-infrastructure-core-services,4.665283540802213,2169.0
Weight Management: Beyond Balancing Calories,Emory University,weight-management-beyond-balancing-calories,4.7784810126582276,474.0
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,human-language,4.66512702078522,1299.0
Java Programming: Solving Problems with Software,Duke University,java-programming,4.495421245421245,3276.0
Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,race-cultural-diversity-american-life,4.414634146341464,246.0
Inspiring and Motivating Individuals,University of Michigan,motivate-people-teams,4.849023090586146,2252.0
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,competencias-digitales-ofimatica,4.772351615326822,2662.0
Healing with the Arts,University of Florida,healing-with-the-arts,4.741100323624596,618.0
People Analytics,University of Pennsylvania,wharton-people-analytics,4.523022432113341,2541.0
What is Social?,Northwestern University,what-is-social,4.596221959858323,2541.0
UX Design Fundamentals,California Institute of the Arts,ux-design-fundamentals,4.791376912378303,719.0
Creative Thinking: Techniques and Tools for Success,Imperial College London,creative-thinking-techniques-and-tools-for-success,4.728285077951003,1796.0
Introduction to Classical Music,Yale University,introclassicalmusic,4.921775898520084,1892.0
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,childrens-rights,4.623333333333333,900.0
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,investment-management,4.604651162790698,301.0
Introduction to Data Analysis Using Excel,Rice University,excel-data-analysis,4.709333333333333,4500.0
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,manage-health-covid-19,4.838876570583888,4059.0
Introduction to International Criminal Law,Case Western Reserve University,international-criminal-law,4.810344827586207,1566.0
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,wharton-fintech-overview-payments-regulations,4.583126550868486,806.0
Greek and Roman Mythology,University of Pennsylvania,mythology,4.793041926851026,1121.0
Politics and Economics of International Energy,Sciences Po,global-energy,4.721111111111111,900.0
Continuous Delivery & DevOps,University of Virginia,uva-darden-continous-delivery-devops,4.548523206751055,711.0
Teach English Now! Foundational Principles,Arizona State University,english-principles,4.920736384556379,7822.0
Business Model Innovation,HEC Paris,business-model,4.698630136986301,219.0
Introduction to User Experience Principles and Processes,University of Michigan,introtoux-principles-and-processes,4.785063752276867,549.0
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,4.75,156.0
Process Mining: Data science in Action,Eindhoven University of Technology,process-mining,4.785992217898833,514.0
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,immunologyfundamentalsimmunitybcells,4.821917808219178,511.0
Introduction to Corporate Finance,University of Pennsylvania,wharton-finance,4.443579766536965,2313.0
Global Diplomacy: the United Nations in the World,University of London,global-diplomacy-un,4.724619289340102,788.0
Algorithmic Toolbox,University of California San Diego,algorithmic-toolbox,4.529933481152994,5412.0
Troubles du spectre de l'autisme : diagnostic,University of Geneva,troubles-spectre-autisme-diagnostic,4.846153846153846,234.0
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,anatomy403-1x,4.853949329359166,671.0
Unraveling the Cycling City,University of Amsterdam,unraveling-the-cycling-city,,
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,crash-course-in-causality,4.655555555555556,270.0
English for Business and Entrepreneurship,University of Pennsylvania,business,4.8758465011286685,2658.0
